Goodreads Quote Id,Author,Book,ISBN,Quote,Tags,Quote Popularity,Order
273128,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","I turned to leave and paused before the gap in the ruined wall. ""One last thing, Your Majesty. I'd like a name I can put into my report, something shorter than typing out 'The Leader of the Southern Shapechanger Faction.' What should I call you?""<br/>""Lord.""<br/>I rolled my eyes.<br/>He shrugged. ""It's short.","kate-daniels, magic, shifter, urban-fantasy",325,45
198042,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","I gave him my best cryptic smile. He did not fall down to his feet, kiss my shoes, and promise me the world. I must be getting rusty.","books, humor",298,46
375635,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","You know anything about investigative work?""<br/>""Sure. Annoy the people involved until the guilt party tries to make you go away.","annoying, ilona-andrews, investigative-work, kate, kate-daniels, magic-bites",283,47
446405,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","What happened to the alpha-wolf?""  <br/>""LEGOs."" <br/>""Legos?"" It sounded Greek but I couldn't recall anything mythological with that name. Wasn't it an island? <br/>""He was carrying a load of laundry into the basement and tripped on the old set of LEGOs his kids left on the stairs. Broke two ribs and an ankle.","",256,48
214949,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","Men and swords.  My father said that if you put any able-bodied man, no matter how peaceful, into a room with a sword and a practice dummy and leave him alone, eventually the man would pick up the sword and try to stab the dummy. It is human nature.","men, swords",196,49
577235,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","What did you tell them?”<br/>“I don't recall. I think I mentioned your discipline and ability to follow orders. I may have said something about you being a team player.”<br/>Derek emitted a strangled cough.<br/>“Why?” I demanded.<br/>“It seemed like a good idea at the time.” Curran resumed hammering.<br/>“I'm sorry,” I said into the phone, sticking me finger into my other ear so I could hear. “His Majesty tends to exaggerate things. I'm not a team player. I'm undisciplined and I have a problem with authority. Also, the Beast Lord can't hammer for shit.”<br/>On the roof Derek was laughing his head off.","curran, derek, funny, kate-daniels, roof",140,50
269759,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","Please, Kate. Suspend your dislike of me for a few moments and listen to what I have to say. It makes sense.""<br/>""I don't dislike you. It's an oversimplification.","dislike, like, oversimplification",131,51
446406,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","Oh, it's you,"" Curran's voice said quietly. ""I thought it was an elephant.","",108,52
375631,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","When life backs you into a corner and offers you no escape, when your friends, your lover, and your family abandon you, when you're at the end of your rope, panicked, alone, and losing your mind, you know you'd give anything to make your problems go away. Then, desperate and eager, you will come to Unicorn Lane, seeking salvation in its magics and secrets. You'll do anything, pay any price. Unicorn Lane will take you in, shroud you in its power, fix your problems, and exact its price. And then you will learn what 'anything' really means.","anything, ilona-andrews, kate, kate-daniels, magic-bites, unicor-lane",70,53
446379,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","There was something very comforting about him, and I was not sure if it was his easy manner or his complete immunity to my scowling.","",31,54
755788,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","Beautiful I would never be. Striking, that I could manage.","ilona-andrews, kate-daniels, magic-bites",31,55
795370,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","For a second I thought I might actually be alive,” I said, looking at Nick’s unshaven face. “Now I know— I’ve gone to Hell and you’re my nursemaid.","",32,56
446399,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","Eleven out of twelve work fine. I'd say that's better chances than getting an orgasm with a blind date and women still try.""  He blinked and laughed softly. ""I never know what you'll say next.""  ""I don't either.","",28,57
715640,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","Everyone had a weakness. It was the law of nature that for each being there was a predator, or a disease, or a vulnerability built into their very core.","",26,58
795368,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","I took the jacket off, changed my T-shirt for a dark gray tank top, slipped on the tangle of the back sheath, and put the jacket on again. Thugs are us. Great. Just add a super-tight ponytail and loads of mascara, and I’d be ripe to play a supervillain’s evil mistress. Ve haf vays of making you gif us your DNA sample.","",19,59
755786,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","If you can't make it go away, wait it out.","ilona-andrews, kate-daniels, magic-bites",19,60
7943118,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","The skull sat on top of an old Stop sign. Someone had painted the surface of the octagon white and written KEEP OUT across it in large jagged letters. A reddish-brown splatter stained the bottom edge, looking suspiciously like dried blood. I leaned closer. Yep, blood. Some hair, too. Human hair.<br/>Curran frowned at the sign. “Do you think he’s trying to tell us something?”<br/>“I don’t know. He’s being so subtle about it.","funny, ilona-andrews, kate-daniels, magic-bites",7,61
8295098,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","Curran never does anything without a reason,” he said. “I was told you’d met him. Perhaps you indirectly challenged him at that meeting.”<br/>Indirectly? I had challenged him <i>deliberately.</i>","",6,62
8294758,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","When in doubt and in need of information, find a snitch and squeeze him. That was one of the very few investigative techniques I was aware of. As a matter of fact, that and the ""annoy principals involved until the guilty party decides to kill you"" pretty much summed it up for me. Move over, Sherlock.","",8,63
8342999,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","It’s not like I could kill Curran now. <i>Should.</i> It’s not like I <i>should</i> kill Curran now. I could always try. Later.<br/>The Beast Lord crossed his arms on his chest. His face looked placid. Calm before the storm . . .<br/>The jaguar at my feet tensed and tried to look smaller. Nick needed a bit of a distraction while he rode like a bat out of hell on the horse commandeered from the Pack stables. I’d provided that distraction by leading Jim and his posse of pissy shapechangers on a merry chase through the countryside. <br/>“Just so we’re clear,” Curran said. “You <i>did</i> understand that I didn’t wish you or the Crusader to leave Keep?”<br/>“Yes.”<br/>“That’s what I thought,” Curran said.<br/>He grabbed me by the throat and slammed me against the wall. My feet felt no floor. His fingers crushed my neck.<br/>I clasped the hand that held me and jammed a long silver needle into his palmar nerve between the index finger and thumb. Curran’s fingers trembled. His hand opened releasing me. I slid to the floor, dropped, and swiped at his legs. He fell. I rolled away and came to my feet. On the opposite side of the room Curran rose to a half crouch, his eyes burning gold.<br/>The whole thing took maybe two seconds. The stunned audience never got a chance to react.<br/>Curran reached for the needle, pulled it out, and dropped it to the floor, never taking his eyes off me.<br/>“It’s okay,” I told him. “I have more.","",4,64
8343009,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","Cyanide,” I explained.<br/>“You can’t kill him with that.” Curran grimaced.<br/>“It’s not for him. It’s for me.”<br/>They stared at me.<br/>“People were dying,” I said. “He was laughing, and all I could do was to sit tight and be safe.”<br/>Curran growled. “You think it’s easy for me?”<br/>“No. But you’re used to it. You have experience with responsibility for people’s lives. I don’t. I don’t want anybody else to die for me. I’m up to my knees in blood as is.”<br/>“I had to send three patrols out,” Curran said. “Because of you. None of them died, but they could have. All because you couldn’t stand to not be the center of attention for a few minutes.”<br/>“You’re an asshole.”<br/>“Fuck you.”<br/>I started sniffing. “What the hell is that stink? Oh, wait a minute, it’s you. You reek. Did you dine on skunk or is that your natural odor?”<br/>“That’s enough,” Mahon roared, startling both of us into silence. “You’re acting like children. Curran, you’ve missed your meditation, and you need one. Kate, there is a punching bag in your room. Make use of it.”<br/>“Why do I have to punch the bag while he meditates?” I mumbled on the way out.<br/>“Because he breaks the bags when he punches them,” Mahon said.","",4,65
9038418,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","Derek, never ever tell a woman that someone is prettier than her. You'll make an enemy for life.","",1,66
8298141,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","If I were on my own, packing some power, and for some reason not wanting to be found, I might lay low for a while. But I’d know sooner or later I’d have to come out and play, because whoever’s looking for me would eventually find me. I’d start building some connections. The thing about a lone wolf? Once you corner it, it has no one to turn to.","",1,67
184158,"Miles Kington","","","Knowledge is knowing that a tomato is a fruit; wisdom is not putting it in a fruit salad.","",245,68
361188,"Priscilla Shirer","","","The spirit of complaint is born out of an unwillingness to trust God with today. <br/>Like the Israelites, it means you are spending your time looking back toward Egypt or wishing for the future all the while missing what God is doing right now.","",72,69
924270,"Priscilla Shirer","God is Able","1433681919","Lord, please do this ... or do something better!","christianity, god-is-able, prayers, praying",43,70
7265348,"Priscilla Shirer","Fervent: A Woman's Battle Plan to Serious, Specific, and Strategic Prayer","","We pray because our own solutions don’t work and because prayer deploys, activates, and fortifies us against the attacks of the enemy. We pray because we’re serious about taking back the ground he has sought to take from us.","",33,71
60108,"Ted Dekker","","","Turn to the light. Don't fear the shadow it creates.","",354,72
63366,"Ted Dekker","The Slumber of Christianity: Awakening a Passion for Heaven on Earth","1598590324","The world’s bumper sticker reads: Life sucks, and then you die. Perhaps Christian bumper stickers should read: Life sucks, but then you find hope and you can’t wait to die.","bumper-sticker, christianity, pessimism, positive-thinking",319,73
58116,"Ted Dekker","","","Prayer may just be the most powerful tool mankind has.”<br/>~Blink","prayer",269,74
122781,"Ted Dekker","House","","The light shines in the darkness, but the darkness cannot understand it","",128,75
58119,"Ted Dekker","Saint (Paradise, #2)","1423326792","Once born into childlike faith, brimming with belief, typical people begin to lose their faith. Society mocks them. Their friends smirk. They come to change the world, but over time the world changes them. Soon they forget who they were; they forget the faith they once had. Then one day someone tells them the truth, but they don’t want to go back, because they’re comfortable in their new skin. Being a stranger in this world is never easy.","",112,76
58120,"Ted Dekker","Saint (Paradise, #2)","1423326792","…It’s not that you don’t have the capacity to accept the truth. You don’t want to accept it, and you hide behind your own logic and intelligence while the truth marches by. Step out and join it, for goodness’’ sake! Shout it out in full step! I believe!","",103,77
247531,"Ted Dekker","","","In living we die, in dying we live.","",101,78
58117,"Ted Dekker","Skin","1595542779","Who’s to say that it takes something like a drug to mess with your perception of reality? How did Hitler deceive a nation? How can one group of people look at the world and see one thing, and another see something completely different? One sees a town, another sees a desert. One sees beauty, another sees chaos.”<br/>The skin of this world,” he said quietly.","",95,79
63324,"Ted Dekker","The Slumber of Christianity: Awakening a Passion for Heaven on Earth","1598590324","We Christian writers must paint evil with the blackest of brushes, not to sow fear, but to call out the monsters to be scattered by our light. If Satan cloaks himself as an angel of white, intent on deceiving the world, any attempt on our parts to minimize evil is only complicit with his strategy... Turn to the light; don’t fear the shadows it creates.","",95,80
352867,"Ted Dekker","White: The Great Pursuit (The Circle, #3)","1595540350","The battle over flesh and blood cannot compare to the battle for the heart.","life-and-death, spiritual",89,81
151465,"Ted Dekker","Kiss","1595544704","Pain or perspective, that's the choice.'<br/>. . . <br/>You choose pain - you choose to fight it, deny it, bury it - then yes, the choice is always hard. But you choose perspective - embrace your history, give it credit for the better person it can make you, scars and all - the choice gets easier every time.","",81,82
58115,"Ted Dekker","Blink","0849945119","You’re pretty sharp, Clive. Do you believe in God?”<br/>Clive smiled. “I don’t know, should I?”<br/>Actually, approaching the matter from a purely logical perspective, yes. All the evidence points to the existence of a creator. The single greatest body of evidence is the dismal failure of man’s desperate attempts to come up with a reasonable alternative, beginning with evolution. I’ve always looked at the universe and seen a creator as plainly as most people who look at the ocean see water.","",74,83
575488,"Ted Dekker","","","Where is God?  Where can I find him?"" we ask.  We don't realize that's like a fish swimming frantically through the ocean in search OF the ocean","",65,84
150870,"Ted Dekker","","",". . . your history is no less important to your survival than your ability to breathe. In the end, you can only determine whether to saturate your memories with pain or with perspective. Forgetting is not an option. I tell you the truth now: Pain was not God's plan for this life. It is a reality, but it is not a part of the plan.","",60,85
50777,"Ted Dekker ","","","God is obviouslt God, and Heaven obviously exsists, and every word spoken here on earth turns heads up there.","",60,86
63363,"Ted Dekker","Saint (Paradise, #2)","1423326792","Anything unnatural was not naturally believed. Faith, in essence, was unnatural.","",50,87
387055,"Ted Dekker","","","There’s a reason we are drawn to the light. A reason why we fear darkness. It’s important to be terrified and unnerved about certain things. That way we will choose another path. The path that leads us to truth and love.","",48,88
239730,"Ted Dekker","Saint (Paradise, #2)","1595540067","You never read Spider-Man? Accepting your true identity means understanding that you are a stranger to this world. A freak, ostracized by the very people you want to help.","",47,89
388428,"Ted Dekker","The Priest's Graveyard (Danny Hansen, #1)","159995334X","The problem with any philosophical consideration is that once you open a door in your mind, you can never close it. Once you learn something, you can never convince your mind that you didn't learn it. If you learn the world is round, you can never fit in with a world that thinks it's flat.","",44,90
469091,"Ted Dekker","Forbidden (The Books of Mortals, #1)","1599953544","It's the sorrow you feel that allows you to crave love. Without the suffering, there would be no true pleasure. Without tears, no joy. Without deficiency, no longing. This is the secret of the human heart, Rom.","",44,91
311846,"Ted Dekker","Immanuel's Veins","140031674X","There is indeed good and there is indeed evil, and both walk the earth.  But good has little to do with the forms of religion, and evil has as little to do with so much behavior condemned by religion.  Both good and evil vie for the passions of the heart.  For love!","",41,92
181227,"Ted Dekker","BoneMan's Daughters","1599951959","Evil was predictable, always painfully expected.","evil",41,93
543677,"Sarah J. Maas","Throne of Glass (Throne of Glass, #1)","","Libraries were full of ideas—perhaps the most dangerous and powerful of all weapons.","ideas, libraries, sarah-j-maas, throne-of-glass",8811,94
608072,"Sarah J. Maas","Throne of Glass (Throne of Glass, #1)","","You could rattle the stars,"" she whispered.  ""You could do anything, if only you dared. And deep down, you know it, too. That’s what scares you most.","",6887,95
682713,"Sarah J. Maas","Throne of Glass (Throne of Glass, #1)","","No. I can survive well enough on my own— if given the proper reading material.","reading, survival",4411,96
7633308,"Sarah J. Maas","A Court of Mist and Fury (A Court of Thorns and Roses, #2)","","To the people who look at the stars and wish, Rhys.""<br/>Rhys clinked his glass against mine. “To the stars who listen— and the dreams that are answered.","a-court-of-mist-and-fury, acomaf, feyre, rhysand",7972,97
7637437,"Sarah J. Maas","A Court of Mist and Fury (A Court of Thorns and Roses, #2)","","He thinks he'll be remembered as the villain in the story. But I forgot to tell him that the villain is usually the person who locks up the maiden and throws away the key. He was the one who let me out.","a-court-of-mist-and-fury",3534,98
638104,"Sarah J. Maas","Throne of Glass (Throne of Glass, #1)","","We all bear scars,... Mine just happen to be more visible than most.","",3474,99
1309553,"Sarah J. Maas","Heir of Fire (Throne of Glass, #3)","1619630656","You cannot pick and choose what parts of her to love.","",3029,100
7633394,"Sarah J. Maas","A Court of Mist and Fury (A Court of Thorns and Roses, #2)","","I fell in love with you, smartass, because you were one of us—because you weren’t afraid of me, and you decided to end your spectacular victory by throwing that piece of bone at Amarantha like a javelin. I felt Cassian’s spirit beside me in that moment, and could have sworn I heard him say, ‘If you don’t marry her, you stupid prick, I will.","rhysand",2925,101
631921,"Sarah J. Maas","Throne of Glass (Throne of Glass, #1)","","My name is Celaena Sardothien. But it makes no difference if my name's Celaena or Lillian or Bitch, because I'd still beat you, no matter what you call me.","assassin",2808,102
7633240,"Sarah J. Maas","A Court of Mist and Fury (A Court of Thorns and Roses, #2)","","When you spend so long trapped in darkness, Lucien, you find that the darkness begins to stare back.","",2728,103
7009554,"Sarah J. Maas","A Court of Thorns and Roses (A Court of Thorns and Roses, #1)","1619634449","Don't feel bad for one moment about doing what brings you joy.","",2707,104
7632693,"Sarah J. Maas","A Court of Mist and Fury (A Court of Thorns and Roses, #2)","","There are good days and hard days for me—even now. Don’t let the hard days win.","",2586,105
604212,"Sarah J. Maas","Throne of Glass (Throne of Glass, #1)","","How long was I asleep?"" she whispered. He didn't respond. <br/>""How long was I asleep?"" she asked again, and noticed a hint of red in his cheeks. <br/>""You were asleep, too?"" <br/>""Until you began drooling on my shoulder.","celaena-sardothien, chaol-westfall, throne-of-glass",2489,106
7633230,"Sarah J. Maas","A Court of Mist and Fury (A Court of Thorns and Roses, #2)","","I was not a pet, not a doll, not an animal.<br/>I was a survivor, and I was strong.<br/>I would not be weak, or helpless again<br/> I would not, could not be broken. Tamed.","a-court-of-mist-and-fury, acomaf, feyre",2437,107
6515967,"Sarah J. Maas","A Court of Thorns and Roses (A Court of Thorns and Roses, #1)","1619634449","Pity those who don't feel anything at all.","emotions, pity",2125,108
871526,"Sarah J. Maas","Crown of Midnight (Throne of Glass, #2)","1619630621","I worry because I <i>care</i>. Gods help me, I know I shouldn't, but I do. So I will <i>always</i> tell you to be careful, because I will <i>always</i> care what happens.","celaena-sardothien, chaol-westfall, crown-of-midnight",2010,109
1237835,"Sarah J. Maas","Heir of Fire (Throne of Glass, #3)","1619630656","I claim you, Rowan Whitethorn. I don't care what you say and how much you protest. I claim you as my friend.","celaena-sardothien",1952,110
7242863,"Sarah J. Maas","Queen of Shadows (Throne of Glass, #4)","1619636042","You make me want to live, Rowan. Not survive; not exist. Live.","",1869,111
7633219,"Sarah J. Maas","A Court of Mist and Fury (A Court of Thorns and Roses, #2)","","There are different kinds of darkness,” Rhys said. I kept my eyes shut. “There is the darkness that frightens, the darkness that soothes, the darkness that is restful.” I pictured each. “There is the darkness of lovers, and the darkness of assassins. It becomes what the bearer wishes it to be, needs it to be. It is not wholly bad or good.","a-court-of-mist-and-fury, acomaf, darkness, rhys, rhysand",1807,112
7633319,"Sarah J. Maas","A Court of Mist and Fury (A Court of Thorns and Roses, #2)","","If you were going to die, I was going to die with you. I couldn’t stop thinking it over and over as you screamed, as I tried to kill her: you were my mate, my mate, my mate.","a-court-of-mist-and-fury, acomaf, feyre, mate, rhysand",1793,113
1345000,"Sarah J. Maas","Heir of Fire (Throne of Glass, #3)","1619630656","...her dearest friends are characters in books.","",1772,114
7637435,"Sarah J. Maas","A Court of Mist and Fury (A Court of Thorns and Roses, #2)","","I am broken and healing, but every piece of my heart belong to you.","a-court-of-mist-and-fury",1735,115
718367,"Sarah J. Maas","Throne of Glass (Throne of Glass, #1)","","Names are not important. It's what lies inside of you that matters.","",1699,116
7717064,"Sarah J. Maas","Empire of Storms (Throne of Glass, #5)","","The world,” Aelin said, “will be saved and remade by the dreamers, Rolfe.","",1669,117
7641987,"Sarah J. Maas","A Court of Mist and Fury (A Court of Thorns and Roses, #2)","","She is my mate. And my spy,' I said too quietly. 'And she is the High Lady of the Night Court.'<br/>'What?' Mor whsipered.<br/>I caressed a mental finger down that bond now hidden deep, deep within us, and said, 'If they had removed her other glove, they would have seen a second tatoo on her right arm. The twin to the other. Inked last night, when we crept out, found a priestess, and I swore her in as my High Lady.' (...) 'Not consort, not wife. Feyre is High Lady of the Night Court.' My equal in every way; she would wear my crown, sit on a throne beside mine. Never sidelined, never designated to breeding and parties and child rearing. My queen.","feyre, rhysand",1652,118
248039,"Ilona Andrews","Magic Bites (Kate Daniels, #1)","","Have you ever met someone and felt . . . I don't know how to describe it, felt a chance at having something that eluded you? I don't know . . . Forget I said anything.""<br/>I knew what he meant. He was describing that moment when you realize that you are lonely. For a time you can be alone and doing fine and never give a thought to living any other way and then you meet someone and suddenly you become lonely. It stabs at you, almost like a physical pain, and you feel both deprived and angry, deprived because you wish to be with that person and angry, because their absence brings you misery. It's a strange feeling, akin to desperation, a feeling that makes you wait by the phone even though you know that the call is an hour away. I was not going to lose my balance. Not yet.","lonely",341,119
